tweet_id,author,account_category,publish_date,content
57047,LAURABAELEY,RightTroll,2016-02-13 11:17:00,Meghan Trainor - Meghan Trainor - Like I'm Gonna Lose You ft. John https://t.co/0vXiUg2yhu #WakeUpAmerica #teaparty #tcot
112638,LOLAPYKE,RightTroll,2015-07-03 11:41:00,Hope everyone had a great day yesterday. I'm happy we don't have a war on the American soil. Thank you to all the military serving today. :)
128221,LUGHHALLEY,HashtagGamer,2015-09-14 15:38:00,If me or any of my friends become president I'm getting out of America. #ReasonIAmNotPresident
171790,MARKMCGREGORY,RightTroll,2015-08-13 16:52:00,#TrumpBecause I'm happy for an America where #Trump2016 wins. ï¿½ï¿½ï¿½
234008,MICPARRISH,RightTroll,2015-08-13 16:24:00,#TrumpBecause I'm happy for an America where #Trump2016 wins. ï¿½ï¿½ï¿½
252696,MILWAUKEEVOICE,NewsFeed,2016-02-03 01:15:00,#WhoopiGoldberg appears utterly confused while defending âI'm not #AfricanAmericanâcomments  https://t.co/0hoWV6tuvU https://t.co/li5p3zy3k1
281187,MRCLYDEPRATT,LeftTroll,2016-02-02 13:02:00,I'm proud to be black ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½#AmericanHistoryIsBlack #BlackHistoryMonth
309894,MUSLIMS_IN_USA,LeftTroll,2016-03-09 22:31:00,"I'm a Muslim American, maybe i'll be your doctor or an enginer one day .... i'm not a terrorist !!! #MuslimUSA https://t.co/rDB6dOxGGS"
25081,GRAYS0NWILDE,Fearmonger,2015-11-15 03:05:00,#DemDebate I'm sick of these militarist Democratic idiots! Why should America rely on military power only!? #DemnDebate
65571,HENRIQUEZ_A2,RightTroll,2015-11-11 04:58:00,#foxbusinessdebate I'm sick of these militarist republican idiots! Why should America rely on military power only!? #GOPStop #UniteRight
69103,HEYHEYHAILEY,HashtagGamer,2016-12-06 13:34:00,I'm Afraid of American Graffiti  #AddASongRuinAMovie
77645,HIPPPO_,HashtagGamer,2014-12-09 12:44:00,I'm gonna love you  #America
79969,HOLDMEJERRY,LeftTroll,2016-03-29 14:07:00,Meghan Trainor - Meghan Trainor - Like I'm Gonna Lose You ft. John https://t.co/kUijd17Znq #WakeUpAmerica #teaparty #tcot
116027,HYDDROX,RightTroll,2017-05-04 19:20:00,"I'm loving the name of it  ""American Health Care Act"" I've been trying to flush all memories of BHO out of my head for months. #MAGA"
141702,ILOVESARAHRICH,LeftTroll,2017-05-01 00:14:00,"I'm Black and USian, soooo what I think we're ALL seeing is what people of color - especially Black ones  - have ALWAYS seen in America."
174243,INTERFISCHER,RightTroll,2016-08-18 10:03:00,Meghan Trainor - Meghan Trainor - Like I'm Gonna Lose You ft. John https://t.co/po2G7QkIX7 #WakeUpAmerica #teaparty #tcot
183662,ISRAEL_WILLS,RightTroll,2015-02-09 17:21:00,Hope everyone had a great day yesterday. I'm happy we don't have a war on the American soil. Thank you to all the military serving today. :)
205142,JACQUELINISBEST,RightTroll,2016-11-08 18:53:00,Yes I'm lesbian but I will be voting for trump he's the best thing for America. #Trump2k16 #TrumpPence16 #TrumpTrain #TrumpForPresident
207892,JACQUELINISBEST,RightTroll,2015-05-22 12:44:00,'@American_Bridge @Phat_Back the more I read about Jeb Bush the more I'm scared of his ignorance!'
219719,JAMIE_MCCARTHY_,RightTroll,2014-12-09 12:13:00,I'm gonna love you  #America
227430,JANI_S_JAC,LeftTroll,2015-07-04 20:36:00,I'm so proud to be american! #HappyIndependenceDay
227433,JANI_S_JAC,LeftTroll,2015-07-04 21:25:00,#HappyIndependenceDay I'm a patriot and it's sad for me to see what's happening to America today
229187,JANSKEESTR,RightTroll,2017-08-15 11:06:00,#just RT mayday2744: cccleland Crossbowman1 Good morning!I'm just sick of what the left is doing to our Country! #WakeUpAmerica b4 itâ¦ â¦
268077,JEBLARY2016,RightTroll,2016-04-23 18:40:00,#CanIGetPaidTo pretend that I'm crying for American kids while bombing Middle Eastern ones? https://t.co/K588IK6Sm8
274651,JENNATRAVELLER,Unknown,2014-12-04 08:21:00,Sometimes I'm embarrassed to be American. I hope  that justice may finally be served! #ICantBreathe #CrimingWhileWhite #RIPEricGarner
276121,JENN_ABRAMS,RightTroll,2017-01-27 14:21:00,"'@histprofessing @DTrumpExposed @realDonaldTrump they're an American citizens, I'm sorry you can't get it'"
281312,JENN_ABRAMS,RightTroll,2015-12-20 12:11:00,"'@Rumym8 I am glad I'm American, but too bad I am a citizen. It's way easier to be an illegal, our gov't is generous with taxpayers' $$'"
284181,JENN_ABRAMS,RightTroll,2015-03-15 12:24:00,'@haaretzcom Are there a lot of African-Americans in Israel? I'm surprised'
287720,JENN_ABRAMS,RightTroll,2015-05-15 14:12:00,'@weknowwhatsbest @PatriotSurge there is a terrorist attack on American soil. I'm waiting'
313207,JIHADIST2NDWIFE,RightTroll,2016-04-30 00:12:00,Islamic State drowns seven in mosul. Wish I was there to see it! But I'm here making America Muslim again! https://t.co/IShFZcF0R6
321822,JOHNCOPPER16,RightTroll,2017-11-22 23:44:00,I'm glad there are still more real men than cucks in America! https://t.co/yU0tRneBCS
347147,KANIJJACKSON,LeftTroll,2018-02-07 03:31:00,"A reminder that Elon Musk quit as an advisor for the Trump administration after Trump stepped away from the Paris Accord: ""I'm departing presidential councils. Climate change is real. Leaving Paris is not good for America or the world."""
347903,KANIJJACKSON,LeftTroll,2018-04-20 18:28:00,I'm more inspired by children of America than the adults! You're making the difference #NationalSchoolWalkout  https://t.co/ILkWwLbf0t
347913,KANIJJACKSON,LeftTroll,2018-04-20 02:09:00,Rachel Maddow: âTrump told you he had a conversation with Putin about hookers?â   Comey: âYesâ  I'm gonna need a transcript of this...  The President of the United States ladies and gentlemen!
348344,KANIJJACKSON,LeftTroll,2018-05-23 19:45:00,The NFL has approved a new rule forcing players to stand during the National Anthem. I'm trying to figure out how #TakeAKnee is un-American but letting people die because of lack of health insurance is patriotic
